,,,
nome,local,conc,uptake
nonchilled,Quebec,95 mL/L,16
nonchilled,Quebec,175 mL/L,30.4
nonchilled,Quebec,250 mL/L,34.8
nonchilled,Quebec,350 mL/L,37.2
nonchilled,Quebec,500 mL/L,35.3
nonchilled,Quebec,675 mL/L,39.2
nonchilled,Quebec,1000 mL/L,39.7
nonchilled,Quebec,95 mL/L,13.6
nonchilled,Quebec,175 mL/L,27.3
nonchilled,Quebec,250 mL/L,37.1
nonchilled,Quebec,350 mL/L,41.8
nonchilled,Quebec,500 mL/L,40.6
nonchilled,Quebec,675 mL/L,41.4
nonchilled,Quebec,1000 mL/L,44.3
nonchilled,Quebec,95 mL/L,16.2
nonchilled,Quebec,175 mL/L,32.4
nonchilled,Quebec,250 mL/L,40.3
nonchilled,Quebec,350 mL/L,42.1
nonchilled,Quebec,500 mL/L,42.9
nonchilled,Quebec,675 mL/L,43.9
nonchilled,Quebec,1000 mL/L,45.5
chilled,Quebec,95  mL/L,14.2
chilled,Quebec,175  mL/L,24.1
chilled,Quebec,250  mL/L,30.3
chilled,Quebec,350  mL/L,34.6
chilled,Quebec,500  mL/L,32.5
chilled,Quebec,675  mL/L,35.4
chilled,Quebec,1000  mL/L,38.7
chilled,Quebec,95  mL/L,9.3
chilled,Quebec,175  mL/L,27.3
chilled,Quebec,250  mL/L,35
chilled,Quebec,350  mL/L,38.8
chilled,Quebec,500  mL/L,38.6
chilled,Quebec,675  mL/L,37.5
chilled,Quebec,1000  mL/L,42.4
chilled,Quebec,95  mL/L,15.1
chilled,Quebec,175  mL/L,21
chilled,Quebec,250  mL/L,38.1
chilled,Quebec,350  mL/L,34
chilled,Quebec,500  mL/L,38.9
chilled,Quebec,675  mL/L,39.6
chilled,Quebec,1000  mL/L,41.4
nonchiled,Mississipi,95  mL/L,10.6
nonchiled,Mississipi,175  mL/L,19.2
nonchiled,Mississipi,250  mL/L,26.2
nonchiled,Mississipi,350  mL/L,30
nonchiled,Mississipi,500  mL/L,30.9
nonchiled,Mississipi,675  mL/L,32.4
nonchiled,Mississipi,1000  mL/L,35.5
nonchiled,Mississipi,95  mL/L,12
nonchiled,Mississipi,175  mL/L,22
nonchiled,Mississipi,250  mL/L,30.6
nonchiled,Mississipi,350  mL/L,31.8
nonchiled,Mississipi,500  mL/L,32.4
nonchiled,Mississipi,675  mL/L,31.1
nonchiled,Mississipi,1000  mL/L,31.5
nonchiled,Mississipi,95  mL/L,11.3
nonchiled,Mississipi,175  mL/L,19.4
nonchiled,Mississipi,250  mL/L,25.8
nonchiled,Mississipi,350  mL/L,27.9
nonchiled,Mississipi,500  mL/L,28.5
nonchiled,Mississipi,675  mL/L,28.1
nonchiled,Mississipi,1000  mL/L,27.8
chiled,Mississipi,95  mL/L,10.5
chiled,Mississipi,175  mL/L,14.9
chiled,Mississipi,250  mL/L,18.1
chiled,Mississipi,350  mL/L,18.9
chiled,Mississipi,500  mL/L,19.5
chiled,Mississipi,675  mL/L,22.2
chiled,Mississipi,1000  mL/L,21.9
chiled,Mississipi,95  mL/L,7.7
chiled,Mississipi,175  mL/L,11.4
chiled,Mississipi,250  mL/L,12.3
chiled,Mississipi,350  mL/L,13
chiled,Mississipi,500  mL/L,12.5
chiled,Mississipi,675  mL/L,13.7
chiled,Mississipi,1000  mL/L,14.4
chiled,Mississipi,95  mL/L,10.6
chiled,Mississipi,175  mL/L,18
chiled,Mississipi,250  mL/L,17.9
chiled,Mississipi,350  mL/L,17.9
chiled,Mississipi,500  mL/L,17.9
chiled,Mississipi,675  mL/L,18.9
chiled,Mississipi,1000  mL/L,19.9
